Name,Cores,TDP
AMD 3015Ce,2,6
AMD 3015e,2,6
AMD 3020e,2,6
AMD A10 Micro-6700T APU,4,5
AMD A10 PRO-7350B APU,4,19
AMD A10 PRO-7800B APU,2,65
AMD A10 PRO-7850B APU,2,95
AMD A10-4600M APU,2,35
AMD A10-4655M APU,2,25
AMD A10-4657M APU,4,35
AMD A10-5700 APU,2,65
AMD A10-5745M APU,4,25
AMD A10-5750M APU,4,35
AMD A10-5757M APU,4,35
AMD A10-5800B APU,2,100
AMD A10-5800K APU,2,100
AMD A10-6700 APU,4,65
AMD A10-6700T APU,2,45
AMD A10-6790K APU,2,100
AMD A10-6800B APU,2,100
AMD A10-6800K APU,2,100
AMD A10-7300 APU,4,19
AMD A10-7400P,4,35
AMD A10-7700K APU,2,95
AMD A10-7800 APU,2,65
AMD A10-7850K APU,2,95
AMD A10-7860K,2,65
AMD A10-7870K,2,95
AMD A10-7890K,2,95
AMD A10-8700P,2,35
AMD A10-8750,2,65
AMD A10-9600P,4,15
AMD A10-9620P,4,15
AMD A10-9630P,4,35
AMD A10-9700,4,65
AMD A10-9700E,4,35
AMD A12-9700P,4,15
AMD A12-9720P,4,15
AMD A12-9730P,4,35
AMD A12-9800,2,65
AMD A12-9800E,4,35
AMD A4 Micro-6400T APU,4,4.5
AMD A4 PRO-3340B,4,25
AMD A4 PRO-7300B APU,1,65
AMD A4 PRO-7350B,1,65
AMD A4-1250 APU,2,8
AMD A4-3300 APU,2,65
AMD A4-3300M APU,2,65
AMD A4-3305M APU,2,35
AMD A4-3310MX APU,2,45
AMD A4-3320M APU,2,35
AMD A4-3330MX APU,2,45
AMD A4-3400 APU,2,65
AMD A4-3420 APU,2,65
AMD A4-4000 APU,1,65
AMD A4-4020 APU,2,65
AMD A4-4300M APU,1,35
AMD A4-4355M APU,2,17
AMD A4-5000 APU,4,15
AMD A4-5050 APU,4,13.5
AMD A4-5100 APU,4,15
AMD A4-5150M APU,2,35
AMD A4-5300 APU,2,65
AMD A4-5300B APU,2,65
AMD A4-6210 APU,4,15
AMD A4-6250J APU,4,25
AMD A4-6300 APU,1,65
AMD A4-6300B APU,1,65
AMD A4-6320 APU,1,65
AMD A4-7210 APU,4,25
AMD A4-7300 APU,1,65
AMD A4-9120,2,15
AMD A4-9120C,2,6
AMD A4-9125,2,15
AMD A6 PRO-7050B APU,2,17
AMD A6 PRO-7400B,1,65
AMD A6-1450 APU,4,8
AMD A6-3400M APU,4,35
AMD A6-3410MX APU,4,45
AMD A6-3420M APU,4,35
AMD A6-3430MX APU,4,45
AMD A6-3500 APU,3,65
AMD A6-3600 APU,4,65
AMD A6-3620 APU,4,65
AMD A6-3650 APU,4,100
AMD A6-3670 APU,4,100
AMD A6-4400M APU,1,35
AMD A6-4455M APU,1,17
AMD A6-5200 APU,4,25
AMD A6-5345M APU,2,17
AMD A6-5350M APU,2,35
AMD A6-5357M APU,2,35
AMD A6-5400B APU,1,65
AMD A6-5400K APU,1,65
AMD A6-6310 APU,4,15
AMD A6-6400B APU,1,65
AMD A6-6400K APU,1,65
AMD A6-6420B APU,1,65
AMD A6-6420K APU,2,65
AMD A6-7000�,2,17
AMD A6-7310 APU,4,25
AMD A6-7400K APU,2,65
AMD A6-7470K,1,65
AMD A6-7480,2,65
AMD A6-8500P,2,15
AMD A6-8550,2,65
AMD A6-9200,2,10
AMD A6-9210,2,15
AMD A6-9220,2,15
AMD A6-9220C,2,6
AMD A6-9225,2,15
AMD A6-9230,2,15
AMD A6-9400,2,10
AMD A6-9500,2,65
AMD A6-9500E,2,35
AMD A8 PRO-7150B APU,4,19
AMD A8 PRO-7600B APU,4,65
AMD A8-3500M APU,4,35
AMD A8-3510MX APU,4,45
AMD A8-3520M APU,4,35
AMD A8-3530MX APU,4,45
AMD A8-3550MX APU,4,45
AMD A8-3800 APU,4,65
AMD A8-3820 APU,4,65
AMD A8-3850 APU,4,100
AMD A8-3870K APU,4,100
AMD A8-4500M APU,2,35
AMD A8-4555M APU,2,19
AMD A8-5500 APU,2,65
AMD A8-5500B APU,2,65
AMD A8-5545M APU,4,19
AMD A8-5550M APU,4,35
AMD A8-5557M APU,4,35
AMD A8-5600K APU,4,100
AMD A8-6410 APU,4,15
AMD A8-6500 APU,2,65
AMD A8-6500B APU,2,65
AMD A8-6500T APU,2,45
AMD A8-6600K APU,2,100
AMD A8-7050,2,15
AMD A8-7100 APU,4,19
AMD A8-7200P,4,35
AMD A8-7410 APU,4,25
AMD A8-7500,2,65
AMD A8-7600 APU,2,65
AMD A8-7650K,2,65
AMD A8-7670K,4,95
AMD A8-7680,4,45
AMD A8-8600P,2,15
AMD A8-8650,4,65
AMD A8-9600,4,65
AMD A9-9400,2,10
AMD A9-9410,2,25
AMD A9-9420,2,15
AMD A9-9425,2,15
AMD Athlon 1640B,1,45
AMD Athlon 200GE,2,35
AMD Athlon 220GE,2,35
AMD Athlon 240GE,2,35
AMD Athlon 2650e,1,15
AMD Athlon 2800+,1,89
AMD Athlon 2850e,1,22
AMD Athlon 3000G,2,35
AMD Athlon 300GE,2,35
AMD Athlon 300U,2,15
AMD Athlon 320GE,2,35
AMD Athlon 5000 Dual-Core,2,65
AMD Athlon 5150 APU,4,25
AMD Athlon 5200 Dual-Core,2,75
AMD Athlon 5350 APU,4,25
AMD Athlon 5370 APU,4,25
AMD Athlon 64 2000+,1,8
AMD Athlon 64 2600+,1,15
AMD Athlon 64 2800+,1,89
AMD Athlon 64 3000+,1,89
AMD Athlon 64 3100+,1,89
AMD Athlon 64 3200+,1,62
AMD Athlon 64 3400+,1,89
AMD Athlon 64 3500+,1,45
AMD Athlon 64 3700+,1,89
AMD Athlon 64 3800+,1,45
AMD Athlon 64 4000+,1,62
AMD Athlon 64 FX-55,1,104
AMD Athlon 64 FX-57,1,104
AMD Athlon 64 FX-60 Dual Core,2,110
AMD Athlon 64 FX-62 Dual Core,2,125
AMD Athlon 64 FX-74,2,125
AMD Athlon 64 X2 3800+,2,89
AMD Athlon 64 X2 Dual Core 3400+,2,89
AMD Athlon 64 X2 Dual Core 3600+,2,65
AMD Athlon 64 X2 Dual Core 3800+,2,89
AMD Athlon 64 X2 Dual Core 4000+,2,65
AMD Athlon 64 X2 Dual Core 4200+,2,89
AMD Athlon 64 X2 Dual Core 4400+,2,65
AMD Athlon 64 X2 Dual Core 4600+,2,65
AMD Athlon 64 X2 Dual Core 4800+,2,65
AMD Athlon 64 X2 Dual Core 5000+,2,65
AMD Athlon 64 X2 Dual Core 5200+,2,65
AMD Athlon 64 X2 Dual Core 5400+,2,65
AMD Athlon 64 X2 Dual Core 5600+,2,89
AMD Athlon 64 X2 Dual Core 5800+,2,89
AMD Athlon 64 X2 Dual Core 6000+,2,89
AMD Athlon 64 X2 Dual Core 6400+,2,125
AMD Athlon 64 X2 Dual Core BE-2300,2,45
AMD Athlon 64 X2 Dual Core BE-2350,2,45
AMD Athlon 64 X2 Dual-Core TK-42,2,20
AMD Athlon 64 X2 Dual-Core TK-53,2,31
AMD Athlon 64 X2 Dual-Core TK-55,2,35
AMD Athlon 64 X2 Dual-Core TK-57,2,31
AMD Athlon 64 X2 QL-60,2,35
AMD Athlon 64 X2 QL-62,2,35
AMD Athlon 64 X2 QL-64,2,35
AMD Athlon 64 X2 QL-65,2,35
AMD Athlon 64 X2 QL-66,2,35
AMD Athlon 64 X2 QL-67,2,35
AMD Athlon 7450 Dual-Core,2,95
AMD Athlon 7550 Dual-Core,2,95
AMD Athlon 7750 Dual-Core,2,95
AMD Athlon 7850 Dual-Core,2,95
AMD Athlon Dual Core 4050e,2,45
AMD Athlon Dual Core 4450B,2,45
AMD Athlon Dual Core 4450e,2,45
AMD Athlon Dual Core 4850B,2,45
AMD Athlon Dual Core 4850e,2,45
AMD Athlon Dual Core 5000B,2,65
AMD Athlon Dual Core 5050e,2,45
AMD Athlon Dual Core 5200B,2,65
AMD Athlon Dual Core 5400B,2,65
AMD Athlon Dual Core 5600B,2,65
AMD Athlon Gold 3150C,2,15
AMD Athlon Gold 3150G,4,65
AMD Athlon Gold 3150U,2,15
AMD Athlon Gold PRO 3150G,4,65
AMD Athlon Gold PRO 3150GE,4,35
